hpcd,mdc6,value
20026,050070,635
20123,050070,635
90100,060100,635
20112,050080,634
90156,060100,634
1296,040040,633
20019,040040,633
20043,120010,633
10047,060100,632
20123,010060,632
10082,12002x,631
20126,040040,631
20022,040040,629
10036,040040,627
10011,040040,626
10031,110080,626
20074,040040,626
30661,050050,626
31080,020110,626
10023,050070,625
20041,090010,625
10037,020110,624
20003,040040,624
20023,020110,624
20123,020110,624
30028,010060,624
30641,040040,624
31294,050050,624
20083,050050,623
30920,040040,623
30415,020110,622
90189,010230,622
20117,130030,621
30499,010010,621
30786,020110,621
90091,050050,621
20127,090010,620
30323,060100,620
30857,060100,620
30865,040040,620
20052,060035,619
30988,060100,619
31500,040040,619
10007,12002x,618
10028,020110,618
10035,040040,618
10037,040040,618
30976,050050,618
10077,040040,617
20034,050130,617
31192,010310,616
10050,020110,615
10065,090010,615
20008,010060,615
20078,060010,615
30023,130030,615
30429,11012x,615
20040,020110,614
20104,040040,614
30362,040040,613
1704,060100,612
20129,090010,612
31179,020110,612
10033,020220,611
10047,040040,611
10066,020220,611
20127,050050,611
30131,060100,611
31446,050050,610
20114,140010,609
31445,070470,609
30557,160620,608
30641,020110,608
10024,030250,607
30172,040040,607
20073,040040,606
10043,12002x,603
10075,090010,603
20075,050050,603
20123,060340,603
90165,070230,603
2205,180040,602
20051,110080,602
30640,040040,602
10053,130030,601
20116,050050,601
10062,020110,600
30763,060010,600
2549,010060,599
3082,020200,599
10019,110080,599
20152,010060,598
30659,160620,598
30883,050070,598
30136,040040,597
30915,060100,597
10029,020160,596
20008,040040,596
20112,04026x,596
30138,040040,596
10046,110080,595
20021,040040,595
20137,040040,595
10025,040040,594
10026,110280,594
10058,020150,594
20030,060340,594
30986,060100,594
31169,110280,594
20003,060100,593
20054,050050,593
20152,040040,593
10071,040040,590
31054,050050,590
20040,050050,589
20136,050050,589
31509,050050,589
1094,07040x,588
10042,040040,588
30064,050050,588
30845,020110,588
10004,040040,587
10025,050050,587
30284,060100,587
31192,040040,587
20026,060035,586
20031,050050,586
31050,050130,586
10022,050080,585
20106,060100,585
30273,050050,585
10066,12002x,584
31446,040040,584
90040,070343,584
20030,110080,583
30815,060100,582
90192,050070,582
10012,12002x,581
30499,060100,581
10013,050050,580
30062,060100,580
30763,06007x,580
31027,010060,580
2780,140010,579
30545,010060,579
30859,050050,579
30990,060100,579
20114,040040,578
30364,090010,578
30915,040040,578
2921,020110,577
10029,050070,577
90194,050070,577
